Simulación de distribución triangular
f(x) = x-1 si 1≤x≤2, 3-x si 2<x≤3

Total de valores simulados: 200

Iteración | u | Fórmula usada | Resultado x
062 | u=0.27135 | x = 1 + sqrt(2u) | x=1.73668
063 | u=0.82874 | x = 3 - sqrt(2(1 - u)) | x=2.41474
064 | u=0.35675 | x = 1 + sqrt(2u) | x=1.84469
065 | u=0.28093 | x = 1 + sqrt(2u) | x=1.74958
066 | u=0.54270 | x = 3 - sqrt(2(1 - u)) | x=2.04365
067 | u=0.14092 | x = 1 + sqrt(2u) | x=1.53089
068 | u=0.80220 | x = 3 - sqrt(2(1 - u)) | x=2.37103
069 | u=0.07455 | x = 1 + sqrt(2u) | x=1.38614
070 | u=0.98689 | x = 3 - sqrt(2(1 - u)) | x=2.83806
071 | u=0.77224 | x = 3 - sqrt(2(1 - u)) | x=2.32508
072 | u=0.19872 | x = 1 + sqrt(2u) | x=1.63042
073 | u=0.00552 | x = 1 + sqrt(2u) | x=1.10509
074 | u=0.81546 | x = 3 - sqrt(2(1 - u)) | x=2.39248
075 | u=0.70686 | x = 3 - sqrt(2(1 - u)) | x=2.23431
076 | u=0.72901 | x = 3 - sqrt(2(1 - u)) | x=2.26380
077 | u=0.77127 | x = 3 - sqrt(2(1 - u)) | x=2.32364
078 | u=0.07404 | x = 1 + sqrt(2u) | x=1.38482
079 | u=0.35847 | x = 1 + sqrt(2u) | x=1.84672
080 | u=0.11587 | x = 1 + sqrt(2u) | x=1.48139
081 | u=0.86310 | x = 3 - sqrt(2(1 - u)) | x=2.47675
082 | u=0.62330 | x = 3 - sqrt(2(1 - u)) | x=2.13201
083 | u=0.33090 | x = 1 + sqrt(2u) | x=1.81351
084 | u=0.06356 | x = 1 + sqrt(2u) | x=1.35653
085 | u=0.31098 | x = 1 + sqrt(2u) | x=1.78865
086 | u=0.32518 | x = 1 + sqrt(2u) | x=1.80645
087 | u=0.72961 | x = 3 - sqrt(2(1 - u)) | x=2.26462
088 | u=0.63756 | x = 3 - sqrt(2(1 - u)) | x=2.14860
089 | u=0.88721 | x = 3 - sqrt(2(1 - u)) | x=2.52505
090 | u=0.47221 | x = 1 + sqrt(2u) | x=1.97182
091 | u=0.11959 | x = 1 + sqrt(2u) | x=1.48907
092 | u=0.71324 | x = 3 - sqrt(2(1 - u)) | x=2.24270
093 | u=0.76079 | x = 3 - sqrt(2(1 - u)) | x=2.30831
094 | u=0.56128 | x = 3 - sqrt(2(1 - u)) | x=2.06328
095 | u=0.77097 | x = 3 - sqrt(2(1 - u)) | x=2.32319
096 | u=0.49380 | x = 1 + sqrt(2u) | x=1.99378
097 | u=0.52273 | x = 3 - sqrt(2(1 - u)) | x=2.02300
098 | u=0.42754 | x = 1 + sqrt(2u) | x=1.92471
099 | u=0.02542 | x = 1 + sqrt(2u) | x=1.22547
100 | u=0.10789 | x = 1 + sqrt(2u) | x=1.46452
101 | u=0.03143 | x = 1 + sqrt(2u) | x=1.25072
102 | u=0.63641 | x = 3 - sqrt(2(1 - u)) | x=2.14725
103 | u=0.31436 | x = 1 + sqrt(2u) | x=1.79291
104 | u=0.50857 | x = 3 - sqrt(2(1 - u)) | x=2.00861
105 | u=0.90757 | x = 3 - sqrt(2(1 - u)) | x=2.57004
106 | u=0.24929 | x = 1 + sqrt(2u) | x=1.70611
107 | u=0.41038 | x = 1 + sqrt(2u) | x=1.90596
108 | u=0.75555 | x = 3 - sqrt(2(1 - u)) | x=2.30079
109 | u=0.22880 | x = 1 + sqrt(2u) | x=1.67646
110 | u=0.07698 | x = 1 + sqrt(2u) | x=1.39238
111 | u=0.28975 | x = 1 + sqrt(2u) | x=1.76125
112 | u=0.16122 | x = 1 + sqrt(2u) | x=1.56784
113 | u=0.92970 | x = 3 - sqrt(2(1 - u)) | x=2.62503
114 | u=0.80812 | x = 3 - sqrt(2(1 - u)) | x=2.38052
115 | u=0.63340 | x = 3 - sqrt(2(1 - u)) | x=2.14373
116 | u=0.87146 | x = 3 - sqrt(2(1 - u)) | x=2.49297
117 | u=0.80367 | x = 3 - sqrt(2(1 - u)) | x=2.37338
118 | u=0.18657 | x = 1 + sqrt(2u) | x=1.61085
119 | u=0.89256 | x = 3 - sqrt(2(1 - u)) | x=2.53645
120 | u=0.53934 | x = 3 - sqrt(2(1 - u)) | x=2.04015
121 | u=0.80744 | x = 3 - sqrt(2(1 - u)) | x=2.37942
122 | u=0.89609 | x = 3 - sqrt(2(1 - u)) | x=2.54413
123 | u=0.31800 | x = 1 + sqrt(2u) | x=1.79750
124 | u=0.11005 | x = 1 + sqrt(2u) | x=1.46915
125 | u=0.22794 | x = 1 + sqrt(2u) | x=1.67518
126 | u=0.42711 | x = 1 + sqrt(2u) | x=1.92424
127 | u=0.81801 | x = 3 - sqrt(2(1 - u)) | x=2.39670
128 | u=0.86073 | x = 3 - sqrt(2(1 - u)) | x=2.47223
129 | u=0.00695 | x = 1 + sqrt(2u) | x=1.11792
130 | u=0.51075 | x = 3 - sqrt(2(1 - u)) | x=2.01081
131 | u=0.41741 | x = 1 + sqrt(2u) | x=1.91369
132 | u=0.22211 | x = 1 + sqrt(2u) | x=1.66650
133 | u=0.11987 | x = 1 + sqrt(2u) | x=1.48962
134 | u=0.33762 | x = 1 + sqrt(2u) | x=1.82172
135 | u=0.94291 | x = 3 - sqrt(2(1 - u)) | x=2.66209
136 | u=0.32320 | x = 1 + sqrt(2u) | x=1.80399
137 | u=0.51879 | x = 3 - sqrt(2(1 - u)) | x=2.01897
138 | u=0.70302 | x = 3 - sqrt(2(1 - u)) | x=2.22931
139 | u=0.36363 | x = 1 + sqrt(2u) | x=1.85279
140 | u=0.97178 | x = 3 - sqrt(2(1 - u)) | x=2.76244
141 | u=0.96245 | x = 3 - sqrt(2(1 - u)) | x=2.72595
142 | u=0.25178 | x = 1 + sqrt(2u) | x=1.70962
143 | u=0.49725 | x = 1 + sqrt(2u) | x=1.99724
144 | u=0.30088 | x = 1 + sqrt(2u) | x=1.77573
145 | u=0.28484 | x = 1 + sqrt(2u) | x=1.75477
146 | u=0.03689 | x = 1 + sqrt(2u) | x=1.27161
147 | u=0.60956 | x = 3 - sqrt(2(1 - u)) | x=2.11633
148 | u=0.50268 | x = 3 - sqrt(2(1 - u)) | x=2.00268
149 | u=0.05148 | x = 1 + sqrt(2u) | x=1.32087
150 | u=0.27865 | x = 1 + sqrt(2u) | x=1.74652
151 | u=0.90827 | x = 3 - sqrt(2(1 - u)) | x=2.57167
152 | u=0.23956 | x = 1 + sqrt(2u) | x=1.69219
153 | u=0.14489 | x = 1 + sqrt(2u) | x=1.53832
154 | u=0.48945 | x = 1 + sqrt(2u) | x=1.98940
155 | u=0.98565 | x = 3 - sqrt(2(1 - u)) | x=2.83059
156 | u=0.24206 | x = 1 + sqrt(2u) | x=1.69578
157 | u=0.67214 | x = 3 - sqrt(2(1 - u)) | x=2.19023
158 | u=0.76162 | x = 3 - sqrt(2(1 - u)) | x=2.30952
159 | u=0.23764 | x = 1 + sqrt(2u) | x=1.68940
160 | u=0.72822 | x = 3 - sqrt(2(1 - u)) | x=2.26273
161 | u=0.36778 | x = 1 + sqrt(2u) | x=1.85765
162 | u=0.63231 | x = 3 - sqrt(2(1 - u)) | x=2.14245
163 | u=0.63353 | x = 3 - sqrt(2(1 - u)) | x=2.14388
164 | u=0.53577 | x = 3 - sqrt(2(1 - u)) | x=2.03644
165 | u=0.09029 | x = 1 + sqrt(2u) | x=1.42495
166 | u=0.83530 | x = 3 - sqrt(2(1 - u)) | x=2.42607
167 | u=0.32078 | x = 1 + sqrt(2u) | x=1.80097
168 | u=0.18652 | x = 1 + sqrt(2u) | x=1.61077
169 | u=0.04078 | x = 1 + sqrt(2u) | x=1.28557
170 | u=0.59089 | x = 3 - sqrt(2(1 - u)) | x=2.09545
171 | u=0.67756 | x = 3 - sqrt(2(1 - u)) | x=2.19696
172 | u=0.01659 | x = 1 + sqrt(2u) | x=1.18214
173 | u=0.51209 | x = 3 - sqrt(2(1 - u)) | x=2.01217
174 | u=0.22650 | x = 1 + sqrt(2u) | x=1.67305
175 | u=0.64517 | x = 3 - sqrt(2(1 - u)) | x=2.15759
176 | u=0.17437 | x = 1 + sqrt(2u) | x=1.59054
177 | u=0.69094 | x = 3 - sqrt(2(1 - u)) | x=2.21379
178 | u=0.38674 | x = 1 + sqrt(2u) | x=1.87947
179 | u=0.93673 | x = 3 - sqrt(2(1 - u)) | x=2.64428
180 | u=0.13752 | x = 1 + sqrt(2u) | x=1.52444
181 | u=0.34107 | x = 1 + sqrt(2u) | x=1.82591
182 | u=0.11347 | x = 1 + sqrt(2u) | x=1.47639
183 | u=0.92469 | x = 3 - sqrt(2(1 - u)) | x=2.61191
184 | u=0.87734 | x = 3 - sqrt(2(1 - u)) | x=2.50470
185 | u=0.25794 | x = 1 + sqrt(2u) | x=1.71825
186 | u=0.65998 | x = 3 - sqrt(2(1 - u)) | x=2.17536
187 | u=0.81722 | x = 3 - sqrt(2(1 - u)) | x=2.39539
188 | u=0.55520 | x = 3 - sqrt(2(1 - u)) | x=2.05681
189 | u=0.52965 | x = 3 - sqrt(2(1 - u)) | x=2.03010
190 | u=0.24185 | x = 1 + sqrt(2u) | x=1.69549
191 | u=0.09310 | x = 1 + sqrt(2u) | x=1.43152
192 | u=0.89722 | x = 3 - sqrt(2(1 - u)) | x=2.54660
193 | u=0.90042 | x = 3 - sqrt(2(1 - u)) | x=2.55372
194 | u=0.63310 | x = 3 - sqrt(2(1 - u)) | x=2.14338
195 | u=0.33903 | x = 1 + sqrt(2u) | x=1.82344
196 | u=0.34921 | x = 1 + sqrt(2u) | x=1.83571
197 | u=0.72596 | x = 3 - sqrt(2(1 - u)) | x=2.25967
198 | u=0.89711 | x = 3 - sqrt(2(1 - u)) | x=2.54637
199 | u=0.88709 | x = 3 - sqrt(2(1 - u)) | x=2.52479
200 | u=0.77988 | x = 3 - sqrt(2(1 - u)) | x=2.33649

--- Estadísticas ---
Media simulada: 1.9781
Varianza simulada: 0.1697
